Country,Region,Year,CO2_Mt,CO2_per_capita
Canada,North America,2012,531.3,1.11
Canada,North America,2013,513.3,1.02
Canada,North America,2014,514.8,1.14
Canada,North America,2015,498.5,0.99
Canada,North America,2016,502.8,0.99
Canada,North America,2017,489.1,1.12
Canada,North America,2018,484.5,0.96
Canada,North America,2019,487.7,1.15
Canada,North America,2020,463.2,1.06
Canada,North America,2021,458.7,1.08
Canada,North America,2022,461.7,1.05
Australia,Oceania,2000,378.4,1.26
Australia,Oceania,2001,391.5,1.19
Australia,Oceania,2002,388.8,1.28
Australia,Oceania,2003,394.9,1.18
Australia,Oceania,2004,397.8,1.21
Australia,Oceania,2005,407.5,1.41
Australia,Oceania,2006,403.7,1.35
Australia,Oceania,2007,414.2,1.3
Australia,Oceania,2008,423.1,1.49
Australia,Oceania,2009,426.7,1.28
Australia,Oceania,2010,430.1,1.43
Australia,Oceania,2011,435.2,1.47
Australia,Oceania,2012,443.8,1.52
Australia,Oceania,2013,461.4,1.54
Australia,Oceania,2014,444.2,1.58
Australia,Oceania,2015,471.6,1.48
Australia,Oceania,2016,453.9,1.4
Australia,Oceania,2017,448.9,1.5
Australia,Oceania,2018,466.0,1.4
Australia,Oceania,2019,477.6,1.51
Australia,Oceania,2020,494.3,1.73
Australia,Oceania,2021,478.2,1.7
Australia,Oceania,2022,493.7,1.73
South Korea,Asia,2000,438.1,1.32
South Korea,Asia,2001,481.5,1.44
South Korea,Asia,2002,490.6,1.5
South Korea,Asia,2003,490.8,1.27
South Korea,Asia,2004,494.6,1.5
South Korea,Asia,2005,537.2,1.59
South Korea,Asia,2006,539.0,1.47
South Korea,Asia,2007,566.1,1.5
South Korea,Asia,2008,570.0,1.67
South Korea,Asia,2009,585.4,1.77
South Korea,Asia,2010,595.9,1.64
South Korea,Asia,2011,620.6,1.6
South Korea,Asia,2012,631.1,1.66
South Korea,Asia,2013,649.6,1.87
South Korea,Asia,2014,646.2,1.66
South Korea,Asia,2015,686.5,1.97
South Korea,Asia,2016,704.0,1.96
South Korea,Asia,2017,706.0,2.1
South Korea,Asia,2018,738.5,2.21
South Korea,Asia,2019,750.8,2.05
South Korea,Asia,2020,755.8,2.19
South Korea,Asia,2021,777.3,2.04
South Korea,Asia,2022,789.5,2.15
Russia,Europe,2000,1495.5,1.19
Russia,Europe,2001,1531.6,1.24
Russia,Europe,2002,1552.2,1.32
Russia,Europe,2003,1570.5,1.36
Russia,Europe,2004,1467.2,1.29
Russia,Europe,2005,1447.2,1.16
Russia,Europe,2006,1488.3,1.32
Russia,Europe,2007,1415.9,1.17
Russia,Europe,2008,1467.2,1.12
Russia,Europe,2009,1471.4,1.11
Russia,Europe,2010,1420.9,1.11
Russia,Europe,2011,1438.1,1.2
Russia,Europe,2012,1459.6,1.1
Russia,Europe,2013,1403.6,1.06
Russia,Europe,2014,1385.4,1.03
Russia,Europe,2015,1396.7,1.06
Russia,Europe,2016,1357.9,1.07
Russia,Europe,2017,1440.9,1.05
Russia,Europe,2018,1371.1,1.17
Russia,Europe,2019,1338.3,1.16
Russia,Europe,2020,1356.6,1.19
Russia,Europe,2021,1336.5,1.14
Russia,Europe,2022,1323.1,1.12
South Africa,Africa,2000,425.4,1.2
South Africa,Africa,2001,430.0,1.25
South Africa,Africa,2002,427.0,1.23
South Africa,Africa,2003,456.8,1.39
South Africa,Africa,2004,455.0,1.33
South Africa,Africa,2005,457.7,1.34
South Africa,Africa,2006,458.9,1.34
South Africa,Africa,2007,456.8,1.26
South Africa,Africa,2008,463.5,1.22
South Africa,Africa,2009,462.8,1.3
South Africa,Africa,2010,474.4,1.27
South Africa,Africa,2011,475.7,1.49
South Africa,Africa,2012,504.5,1.55
South Africa,Africa,2013,502.6,1.46
South Africa,Africa,2014,500.7,1.48
South Africa,Africa,2015,497.6,1.52
South Africa,Africa,2016,501.1,1.39
South Africa,Africa,2017,513.4,1.45
South Africa,Africa,2018,528.0,1.49
South Africa,Africa,2019,541.4,1.73
South Africa,Africa,2020,518.0,1.39
South Africa,Africa,2021,539.8,1.46
South Africa,Africa,2022,534.4,1.46
Mexico,Latin America,2000,415.9,1.18
Mexico,Latin America,2001,428.4,1.25
Mexico,Latin America,2002,429.0,1.4
Mexico,Latin America,2003,442.0,1.44
Mexico,Latin America,2004,444.4,1.42
Mexico,Latin America,2005,455.2,1.27
Mexico,Latin America,2006,474.3,1.46
Mexico,Latin America,2007,476.8,1.44
Mexico,Latin America,2008,490.3,1.4
Mexico,Latin America,2009,486.4,1.4
Mexico,Latin America,2010,504.8,1.48
Mexico,Latin America,2011,494.3,1.36
Mexico,Latin America,2012,516.4,1.57
Mexico,Latin America,2013,529.4,1.47
Mexico,Latin America,2014,518.0,1.54
Mexico,Latin America,2015,534.5,1.54
Mexico,Latin America,2016,548.4,1.51
Mexico,Latin America,2017,564.5,1.6
Mexico,Latin America,2018,559.2,1.72
Mexico,Latin America,2019,576.5,1.71
Mexico,Latin America,2020,592.1,1.73
Mexico,Latin America,2021,592.8,1.88
Mexico,Latin America,2022,594.3,1.93
Indonesia,Asia,2000,382.8,1.37
Indonesia,Asia,2001,400.4,1.23
Indonesia,Asia,2002,430.7,1.44
Indonesia,Asia,2003,453.8,1.59
Indonesia,Asia,2004,482.6,1.49
Indonesia,Asia,2005,501.9,1.54
Indonesia,Asia,2006,533.0,1.81
Indonesia,Asia,2007,551.8,1.82
Indonesia,Asia,2008,586.6,1.89
Indonesia,Asia,2009,602.5,2.11
Indonesia,Asia,2010,614.5,2.01
Indonesia,Asia,2011,647.3,2.04
Indonesia,Asia,2012,680.1,2.12
Indonesia,Asia,2013,717.7,2.55
Indonesia,Asia,2014,736.3,2.62
Indonesia,Asia,2015,738.2,2.49
Indonesia,Asia,2016,768.8,2.35
Indonesia,Asia,2017,813.7,2.83
Indonesia,Asia,2018,834.8,2.96
Indonesia,Asia,2019,872.3,3.03
Indonesia,Asia,2020,876.5,2.74
Indonesia,Asia,2021,898.5,3.1
Indonesia,Asia,2022,930.5,3.22
