neighbourhood,room_type,price,minimum_nights,number_of_reviews,availability_365,reviews_per_month
Kensington and Chelsea,Private room,149.18,4,239,86,2.0
Camden,Entire home/apt,126.05,5,40,317,0.2
Kensington and Chelsea,Private room,84.03,17,27,65,3.9
Southwark,Entire home/apt,188.25,8,163,300,0.54
Hammersmith,Entire home/apt,196.01,10,256,132,0.57
Westminster,Entire home/apt,120.9,22,283,120,1.86
Southwark,Entire home/apt,233.6,24,155,206,1.63
Tower Hamlets,Entire home/apt,239.8,2,292,19,0.11
Westminster,Entire home/apt,331.22,5,160,178,0.08
Hammersmith,Entire home/apt,181.16,18,215,250,0.01
Camden,Entire home/apt,186.64,24,177,293,0.3
Tower Hamlets,Private room,77.84,10,7,340,0.2
Kensington and Chelsea,Entire home/apt,367.99,23,217,113,0.56
Hammersmith,Private room,52.05,8,75,327,3.17
Tower Hamlets,Private room,85.64,21,68,360,0.23
Camden,Shared room,31.58,6,62,72,4.03
Wandsworth,Private room,77.7,9,97,101,0.79
Lambeth,Entire home/apt,295.82,2,81,278,1.14
Westminster,Entire home/apt,210.59,15,64,75,1.88
Southwark,Entire home/apt,165.3,29,223,290,0.52
Hammersmith,Private room,101.51,2,264,2,1.56
Kensington and Chelsea,Entire home/apt,145.61,6,116,220,0.83
Southwark,Entire home/apt,273.5,15,42,342,3.35
Camden,Private room,215.12,11,20,106,0.02
Southwark,Private room,76.84,15,276,140,0.87
Camden,Entire home/apt,174.86,4,51,26,5.31
Hackney,Private room,77.51,2,76,131,3.47
Islington,Private room,63.88,10,38,158,2.47
Kensington and Chelsea,Private room,79.55,22,171,172,2.01
Islington,Private room,72.87,21,213,219,0.52
Wandsworth,Private room,56.34,10,71,151,0.87
Hammersmith,Entire home/apt,109.84,4,49,151,3.46
Islington,Private room,85.16,1,241,68,0.37
Hackney,Private room,51.21,1,118,148,0.2
Southwark,Private room,108.37,10,77,76,1.81
Wandsworth,Shared room,72.22,3,262,84,2.25
Hammersmith,Entire home/apt,307.34,7,279,187,3.42
Tower Hamlets,Private room,103.16,10,287,166,2.96
Tower Hamlets,Entire home/apt,85.14,9,195,268,1.46
Camden,Private room,60.99,12,26,159,1.55
Lambeth,Private room,41.85,26,258,341,2.21
Islington,Entire home/apt,248.46,6,208,290,2.62
Tower Hamlets,Entire home/apt,195.16,13,286,302,0.45
Hammersmith,Entire home/apt,195.93,25,54,11,0.85
Kensington and Chelsea,Private room,71.42,5,247,363,0.56
Southwark,Entire home/apt,140.02,22,230,287,0.27
Lambeth,Entire home/apt,102.63,9,257,248,1.61
Hackney,Entire home/apt,86.61,23,153,195,4.13
Lambeth,Private room,71.71,5,243,11,5.34
Hammersmith,Entire home/apt,188.48,13,290,157,4.21
Lambeth,Entire home/apt,192.72,15,162,65,0.33
Hackney,Entire home/apt,120.0,20,255,265,3.46
Wandsworth,Entire home/apt,238.13,1,109,335,2.89
Tower Hamlets,Entire home/apt,66.41,9,24,140,0.92
Kensington and Chelsea,Entire home/apt,111.59,13,11,287,0.26
Tower Hamlets,Entire home/apt,150.31,28,159,348,0.04
Camden,Private room,74.44,2,266,177,0.12
Kensington and Chelsea,Entire home/apt,518.44,23,82,98,0.16
Hackney,Entire home/apt,248.97,4,102,39,3.36
Islington,Entire home/apt,368.51,29,123,230,2.58
Southwark,Private room,42.66,7,154,91,1.31
Islington,Private room,70.73,22,132,182,1.08
Southwark,Entire home/apt,252.54,26,64,12,0.02
Camden,Private room,58.95,21,172,159,1.34
Hackney,Entire home/apt,155.03,23,116,281,0.27
Camden,Entire home/apt,547.04,28,81,231,3.33
Tower Hamlets,Private room,80.84,17,104,191,3.09
Wandsworth,Shared room,35.93,2,59,47,0.59
Hammersmith,Shared room,59.29,28,202,246,2.15
Lambeth,Private room,48.81,15,172,68,2.67
Westminster,Entire home/apt,341.38,19,151,16,6.27
Southwark,Entire home/apt,303.04,14,227,138,7.06
Hackney,Private room,58.45,5,260,349,3.55
Kensington and Chelsea,Entire home/apt,197.84,6,110,219,4.58
Kensington and Chelsea,Private room,62.6,18,48,291,1.91
Wandsworth,Private room,123.61,26,118,189,4.52
Hammersmith,Private room,151.72,16,287,287,2.14
Hammersmith,Entire home/apt,463.77,8,182,152,0.94
Hammersmith,Private room,77.58,14,112,121,3.39
Islington,Private room,69.27,12,232,17,2.02
Southwark,Shared room,45.23,23,235,223,0.39
Lambeth,Private room,122.95,25,21,347,0.09
Camden,Entire home/apt,133.52,18,94,87,0.84
Lambeth,Entire home/apt,165.48,29,183,2,0.71
Hackney,Entire home/apt,169.02,25,127,228,0.35
Hammersmith,Private room,60.17,8,128,363,2.59
Westminster,Entire home/apt,259.56,2,9,301,1.91
Camden,Entire home/apt,163.46,13,85,233,2.86
Lambeth,Private room,88.38,16,242,222,0.73
Kensington and Chelsea,Entire home/apt,431.19,26,131,110,1.19
Tower Hamlets,Private room,55.22,6,201,37,0.37
Wandsworth,Entire home/apt,126.19,17,118,70,1.31
Hackney,Entire home/apt,336.89,4,253,23,2.26
Camden,Private room,180.86,28,59,304,2.02
Hackney,Entire home/apt,272.23,6,116,355,1.46
Tower Hamlets,Entire home/apt,106.7,17,182,145,0.93
Westminster,Private room,111.32,17,197,259,1.37
Lambeth,Shared room,42.32,28,74,358,1.7
Southwark,Entire home/apt,81.01,13,106,112,1.76
Lambeth,Entire home/apt,80.23,17,50,244,0.12
Hackney,Entire home/apt,201.44,10,191,260,2.45
Hammersmith,Entire home/apt,144.52,7,294,128,3.03
Tower Hamlets,Private room,76.44,28,56,30,5.12
Wandsworth,Shared room,26.77,24,105,341,0.61
Hackney,Entire home/apt,91.29,25,204,69,0.14
Tower Hamlets,Entire home/apt,56.06,20,249,362,0.3
Tower Hamlets,Entire home/apt,135.67,15,159,247,1.59
Kensington and Chelsea,Private room,115.57,7,153,141,2.62
Hammersmith,Shared room,53.17,5,160,177,2.55
Hammersmith,Entire home/apt,132.7,22,288,80,7.88
Camden,Entire home/apt,370.4,17,16,97,0.17
Lambeth,Private room,70.53,10,4,1,2.18
Wandsworth,Private room,26.35,29,166,85,0.69
Kensington and Chelsea,Entire home/apt,148.5,27,137,98,0.11
Westminster,Entire home/apt,161.09,4,213,142,0.46
Southwark,Private room,60.09,20,91,269,0.55
Wandsworth,Private room,78.53,2,247,253,0.84
Westminster,Entire home/apt,508.01,3,261,166,2.14
Wandsworth,Entire home/apt,141.61,11,267,73,0.2
Wandsworth,Private room,47.74,21,71,54,2.06
Kensington and Chelsea,Entire home/apt,675.45,2,262,335,3.89
Hackney,Private room,33.67,11,39,219,0.45
Kensington and Chelsea,Private room,75.45,4,245,274,4.28
Islington,Shared room,48.22,13,20,157,2.01
Tower Hamlets,Shared room,40.92,3,195,280,3.46
Hammersmith,Entire home/apt,128.2,5,226,188,0.82
Wandsworth,Private room,139.74,12,212,215,1.36
Hackney,Private room,80.56,26,276,155,3.5
Westminster,Entire home/apt,188.78,15,74,278,1.94
Lambeth,Private room,44.84,12,138,349,7.74
Hackney,Entire home/apt,122.02,3,247,155,2.29
Lambeth,Private room,73.05,28,0,246,0.65
Hackney,Private room,32.27,21,226,312,0.72
Tower Hamlets,Shared room,37.8,12,38,354,0.12
Camden,Private room,69.66,14,37,141,4.0
Kensington and Chelsea,Entire home/apt,139.23,19,29,333,1.3
Westminster,Entire home/apt,271.09,23,149,82,7.21
Hackney,Private room,75.56,9,283,172,6.58
Wandsworth,Entire home/apt,115.43,15,119,316,0.14
Westminster,Entire home/apt,343.95,1,88,141,1.82
Hackney,Entire home/apt,216.27,27,67,263,4.2
Lambeth,Private room,119.49,23,15,61,3.17
Hackney,Entire home/apt,185.94,21,275,356,1.83
Westminster,Private room,180.14,9,34,215,6.24
Kensington and Chelsea,Entire home/apt,99.53,12,173,46,0.3
Hackney,Private room,53.17,29,231,20,2.0
Tower Hamlets,Private room,116.19,28,27,259,0.97
Hackney,Private room,109.11,2,161,346,2.72
Westminster,Entire home/apt,361.37,18,60,267,1.85
Kensington and Chelsea,Entire home/apt,220.9,10,92,108,1.32
Kensington and Chelsea,Entire home/apt,129.22,17,140,188,0.01
Westminster,Entire home/apt,61.61,11,89,294,3.24
Westminster,Entire home/apt,178.08,9,264,343,0.18
Wandsworth,Private room,64.75,21,58,182,4.15
Hackney,Entire home/apt,326.68,8,108,267,2.25
Westminster,Private room,77.69,7,249,7,3.97
Islington,Private room,66.55,4,160,126,2.17
Southwark,Entire home/apt,218.74,28,83,112,0.15
Hammersmith,Entire home/apt,144.98,29,104,201,0.9
Hammersmith,Entire home/apt,400.48,19,117,200,1.9
Hackney,Private room,71.67,8,257,80,2.37
Hackney,Entire home/apt,107.37,23,212,61,1.64
Wandsworth,Private room,99.92,22,106,145,1.03
Islington,Entire home/apt,213.23,6,121,29,1.18
Camden,Entire home/apt,539.54,9,62,22,0.77
Hammersmith,Entire home/apt,94.68,22,99,166,1.43
Southwark,Private room,69.28,10,125,304,0.21
Southwark,Entire home/apt,203.42,16,115,203,1.64
Tower Hamlets,Entire home/apt,149.7,13,259,153,0.08
Lambeth,Private room,76.66,27,233,50,0.05
Southwark,Entire home/apt,156.54,23,133,195,10.54
Wandsworth,Shared room,39.86,13,58,125,0.99
Lambeth,Entire home/apt,158.19,2,41,353,0.6
Hackney,Entire home/apt,86.36,21,20,299,3.55
Tower Hamlets,Entire home/apt,86.34,3,110,353,1.34
Hackney,Private room,77.05,3,251,337,1.95
Wandsworth,Private room,134.85,8,283,4,1.29
Tower Hamlets,Private room,59.13,27,116,353,2.56
Lambeth,Entire home/apt,120.46,17,183,19,1.26
Hammersmith,Shared room,50.59,17,146,153,7.93
Tower Hamlets,Private room,32.64,6,74,215,1.16
Wandsworth,Entire home/apt,283.6,17,178,218,1.05
Hackney,Private room,116.86,3,47,328,0.12
Westminster,Private room,120.21,1,146,62,4.3
Southwark,Entire home/apt,227.68,16,113,21,2.33
Hackney,Private room,75.69,10,125,276,0.89
Camden,Entire home/apt,200.56,15,162,18,0.45
Hammersmith,Private room,169.04,7,29,134,0.09
Tower Hamlets,Private room,51.32,8,135,187,2.15
Westminster,Private room,122.64,2,190,103,1.02
Camden,Entire home/apt,79.45,6,74,354,1.59
Camden,Entire home/apt,79.76,19,122,357,0.71
Kensington and Chelsea,Entire home/apt,194.17,6,187,321,0.15
Kensington and Chelsea,Entire home/apt,336.84,28,289,294,1.03
Islington,Private room,107.83,29,230,52,3.69
Westminster,Private room,95.48,21,268,20,0.48
Hackney,Private room,20.92,10,53,51,2.03
Camden,Entire home/apt,197.8,28,52,334,1.61
Tower Hamlets,Entire home/apt,102.03,23,289,337,3.47
Wandsworth,Private room,96.79,15,240,348,0.1
Lambeth,Private room,46.01,11,120,64,0.28
Wandsworth,Private room,106.36,12,99,337,4.45
Hackney,Private room,81.85,5,185,217,1.66
Wandsworth,Private room,65.06,10,174,22,0.59
Southwark,Shared room,29.47,21,210,139,15.07
Westminster,Entire home/apt,389.83,16,27,40,1.29
Camden,Private room,72.29,5,99,30,2.54
Wandsworth,Private room,77.29,11,99,108,2.81
Camden,Entire home/apt,193.34,22,64,355,0.18
Hackney,Private room,61.11,17,117,53,1.45
Southwark,Private room,82.82,2,137,162,1.36
Lambeth,Entire home/apt,131.71,22,23,28,1.25
Tower Hamlets,Entire home/apt,299.04,23,155,271,2.96
Kensington and Chelsea,Entire home/apt,186.79,12,282,180,0.16
Wandsworth,Entire home/apt,246.42,26,6,243,2.05
Southwark,Private room,54.77,7,227,110,2.25
Kensington and Chelsea,Private room,101.11,22,58,131,4.59
Wandsworth,Shared room,58.18,2,204,78,0.12
Hammersmith,Private room,198.41,11,142,287,0.16
Wandsworth,Entire home/apt,187.37,26,198,361,4.53
Wandsworth,Private room,43.47,21,67,350,2.24
Westminster,Entire home/apt,259.75,20,101,215,2.58
Wandsworth,Private room,59.66,17,4,83,1.99
Kensington and Chelsea,Entire home/apt,265.43,18,225,14,0.87
Hammersmith,Private room,78.55,22,209,77,1.58
Hackney,Entire home/apt,130.32,29,7,234,2.24
Westminster,Shared room,64.77,28,69,168,0.44
Hackney,Entire home/apt,187.59,24,186,89,1.48
Southwark,Entire home/apt,114.63,22,153,259,3.54
Camden,Private room,86.33,11,244,335,7.57
Islington,Entire home/apt,211.16,4,93,320,1.23
Westminster,Entire home/apt,299.12,24,241,341,3.86
Wandsworth,Private room,54.43,28,254,170,0.09
Hammersmith,Entire home/apt,355.88,2,54,90,0.59
Wandsworth,Entire home/apt,866.58,7,240,322,1.0
Southwark,Entire home/apt,78.91,3,112,358,1.72
Westminster,Private room,121.4,27,81,323,3.76
Westminster,Entire home/apt,104.24,13,115,342,1.41
Wandsworth,Entire home/apt,123.11,29,67,196,2.54
Kensington and Chelsea,Private room,145.47,3,75,281,3.66
Islington,Private room,136.08,10,83,241,0.46
Kensington and Chelsea,Entire home/apt,200.89,19,111,102,0.07
Wandsworth,Entire home/apt,211.71,1,194,279,3.51
Tower Hamlets,Private room,57.31,24,23,3,0.33
Wandsworth,Entire home/apt,138.8,21,168,312,1.79
Lambeth,Entire home/apt,201.39,25,137,167,0.51
Lambeth,Entire home/apt,237.38,22,37,238,1.08
Islington,Private room,72.51,5,24,111,3.39
Wandsworth,Entire home/apt,313.09,17,271,58,1.07
Hammersmith,Private room,42.59,27,161,254,1.46
Westminster,Shared room,35.16,25,122,356,0.22
Westminster,Private room,141.69,19,291,80,5.4
Kensington and Chelsea,Entire home/apt,214.49,26,166,125,0.85
Camden,Private room,88.54,29,72,140,0.48
Tower Hamlets,Shared room,41.53,12,174,108,5.88
Westminster,Entire home/apt,338.98,26,270,99,3.09
Tower Hamlets,Entire home/apt,143.24,4,215,314,1.39
Lambeth,Entire home/apt,181.19,17,167,338,1.12
Southwark,Private room,67.01,3,146,203,0.51
Hammersmith,Private room,94.38,4,150,1,4.1
Hackney,Entire home/apt,140.63,23,113,271,8.02
Hackney,Entire home/apt,123.16,16,123,112,0.04
Southwark,Entire home/apt,306.4,1,4,56,4.21
Southwark,Entire home/apt,76.9,27,32,317,0.18
Wandsworth,Private room,57.04,15,166,288,2.05
Lambeth,Private room,60.75,23,13,214,1.08
Lambeth,Private room,64.15,10,16,321,7.06
Southwark,Shared room,37.33,9,81,218,1.47
Islington,Entire home/apt,165.19,16,1,123,1.6
Lambeth,Shared room,23.04,11,294,218,0.16
Lambeth,Entire home/apt,348.98,19,83,321,0.62
Camden,Private room,63.06,6,206,282,2.25
Westminster,Private room,140.84,27,257,64,0.25
Wandsworth,Entire home/apt,533.0,15,149,47,0.01
Kensington and Chelsea,Private room,168.07,28,67,6,0.58
Tower Hamlets,Shared room,51.7,10,72,236,1.92
Lambeth,Shared room,27.46,27,126,270,3.4
Wandsworth,Entire home/apt,140.63,19,247,347,1.9
Wandsworth,Private room,46.23,7,244,150,0.1
Tower Hamlets,Entire home/apt,204.31,1,68,298,0.57
Kensington and Chelsea,Entire home/apt,121.74,1,15,337,0.93
Islington,Private room,66.69,6,126,274,1.36
Kensington and Chelsea,Entire home/apt,499.68,24,90,237,0.69
Hammersmith,Entire home/apt,265.19,29,106,344,0.81
Westminster,Private room,160.65,21,257,57,0.57
Lambeth,Entire home/apt,198.89,4,113,251,0.31
Camden,Private room,66.93,25,204,259,1.78
Islington,Entire home/apt,70.95,22,87,323,0.47
Westminster,Private room,207.71,1,101,37,0.24
Southwark,Private room,49.04,28,20,241,4.27
Tower Hamlets,Entire home/apt,140.13,10,22,152,0.88
Hammersmith,Private room,115.78,25,236,310,0.49
Islington,Shared room,30.12,10,294,335,4.18
Southwark,Private room,42.72,6,108,34,0.86
Wandsworth,Private room,98.04,23,213,284,1.23
Islington,Entire home/apt,219.23,14,111,44,0.36
Kensington and Chelsea,Private room,198.38,22,245,288,0.85
Hammersmith,Private room,90.39,26,137,114,0.5
Wandsworth,Entire home/apt,96.3,15,245,126,0.53
Kensington and Chelsea,Private room,90.16,29,136,174,2.8
Westminster,Entire home/apt,395.22,1,140,245,1.71
Westminster,Entire home/apt,389.2,29,294,127,7.87
Westminster,Entire home/apt,352.73,7,102,308,3.0
Westminster,Private room,93.94,27,252,206,4.34
Hammersmith,Entire home/apt,351.43,25,85,335,0.45
Hackney,Entire home/apt,166.45,7,205,338,3.44
Wandsworth,Private room,49.23,25,231,145,4.64
Camden,Entire home/apt,174.78,22,5,203,0.4
Kensington and Chelsea,Shared room,64.26,13,81,321,1.44
Lambeth,Entire home/apt,109.1,29,122,233,0.77
Hackney,Entire home/apt,221.62,23,61,131,1.25
Tower Hamlets,Entire home/apt,310.92,11,95,346,0.95
Camden,Private room,74.79,28,206,47,0.14
Kensington and Chelsea,Entire home/apt,245.23,26,294,313,2.84
Hackney,Private room,122.74,7,91,264,0.85
Lambeth,Private room,85.74,17,214,276,2.12
Tower Hamlets,Private room,125.25,12,169,268,2.49
Kensington and Chelsea,Private room,122.48,25,39,236,0.48
Hammersmith,Entire home/apt,119.81,26,278,145,6.36
Westminster,Entire home/apt,490.84,6,238,194,5.6
Westminster,Entire home/apt,213.46,14,268,355,3.47
Hammersmith,Private room,142.01,15,206,278,8.19
Kensington and Chelsea,Entire home/apt,153.05,28,256,164,0.6
Lambeth,Entire home/apt,295.76,3,78,4,1.99
Camden,Private room,47.1,24,231,254,4.62
Kensington and Chelsea,Private room,97.17,18,257,263,0.57
Lambeth,Private room,82.53,3,162,350,0.08
Westminster,Shared room,77.4,11,186,303,0.75
Lambeth,Entire home/apt,197.0,4,182,206,1.43
Hammersmith,Private room,144.22,16,196,340,1.03
Hackney,Private room,142.06,11,152,275,1.69
Islington,Private room,63.56,14,182,27,1.5
Southwark,Shared room,48.8,25,13,202,5.96
Camden,Entire home/apt,280.88,22,209,74,0.37
Southwark,Entire home/apt,179.27,22,63,326,1.83
Kensington and Chelsea,Private room,112.97,22,241,208,3.63
Camden,Entire home/apt,234.36,11,206,267,1.21
Tower Hamlets,Shared room,54.27,3,155,183,6.14
Camden,Private room,94.62,26,74,363,0.88
Lambeth,Private room,59.76,29,295,208,1.87
Tower Hamlets,Entire home/apt,224.02,16,44,238,2.3
Southwark,Private room,142.23,9,178,211,0.49
Westminster,Private room,101.8,21,221,275,0.85
Southwark,Shared room,46.36,17,272,63,4.45
Hackney,Private room,59.76,26,289,250,1.27
Lambeth,Shared room,53.64,20,270,83,7.23
Wandsworth,Shared room,22.33,8,109,191,0.71
Kensington and Chelsea,Entire home/apt,195.21,7,27,48,0.87
Tower Hamlets,Entire home/apt,122.11,6,277,129,3.54
Southwark,Entire home/apt,193.65,10,127,237,0.75
Islington,Entire home/apt,67.08,25,105,180,1.08
Wandsworth,Entire home/apt,123.93,25,175,17,2.2
Kensington and Chelsea,Private room,118.52,9,39,147,0.03
Southwark,Entire home/apt,97.56,16,200,331,1.32
Hackney,Private room,76.01,16,294,195,1.08
Kensington and Chelsea,Entire home/apt,215.79,17,228,76,1.73
Hammersmith,Private room,99.22,8,280,332,2.17
Lambeth,Entire home/apt,138.58,24,219,52,0.65
Hackney,Entire home/apt,118.46,29,199,246,1.69
Wandsworth,Private room,94.63,3,255,186,0.82
Southwark,Entire home/apt,94.52,21,249,83,0.57
Lambeth,Private room,85.18,13,126,113,0.11
Tower Hamlets,Private room,62.67,15,272,57,0.54
Islington,Entire home/apt,95.28,8,110,186,1.78
Southwark,Entire home/apt,121.09,2,245,209,1.44
Islington,Shared room,48.72,18,220,237,3.52
Southwark,Private room,77.68,19,115,142,4.83
Hammersmith,Private room,72.01,21,179,312,1.15
Lambeth,Shared room,43.25,16,264,287,0.1
Westminster,Private room,139.69,25,71,154,0.38
Westminster,Private room,221.72,1,220,212,1.67
Islington,Private room,109.34,22,101,191,1.13
Kensington and Chelsea,Private room,83.46,17,148,114,0.7
Kensington and Chelsea,Shared room,42.27,28,272,5,2.27
Lambeth,Entire home/apt,288.15,20,67,213,0.65
Tower Hamlets,Shared room,59.9,20,57,287,1.57
Tower Hamlets,Private room,52.09,27,283,209,9.58
Westminster,Shared room,52.86,8,207,136,0.55
Kensington and Chelsea,Private room,114.38,26,117,72,2.78
Kensington and Chelsea,Private room,33.42,3,151,4,0.24
Westminster,Entire home/apt,315.51,26,174,161,3.88
Camden,Private room,51.85,23,131,86,0.71
Westminster,Entire home/apt,247.21,21,115,213,0.38
Westminster,Entire home/apt,238.64,29,142,249,0.29
Wandsworth,Entire home/apt,160.46,17,111,363,2.64
Tower Hamlets,Private room,44.31,21,226,213,1.48
Hackney,Entire home/apt,217.25,8,202,60,3.03
Hammersmith,Private room,87.9,23,36,55,0.19
Lambeth,Entire home/apt,155.5,1,187,306,2.15
Islington,Entire home/apt,122.62,27,219,93,0.6
Hammersmith,Entire home/apt,152.08,20,75,277,0.51
Westminster,Entire home/apt,213.46,10,181,334,3.44
Lambeth,Private room,53.35,17,16,89,0.34
Lambeth,Entire home/apt,178.08,14,261,162,0.5
Kensington and Chelsea,Private room,93.77,17,244,162,0.03
Southwark,Shared room,57.18,17,216,25,5.53
Hammersmith,Entire home/apt,236.63,18,272,248,2.51
Islington,Entire home/apt,105.39,23,18,62,5.58
Hackney,Entire home/apt,222.74,26,43,359,0.77
Westminster,Private room,45.44,18,64,354,0.88
Lambeth,Private room,51.93,15,295,186,0.06
Tower Hamlets,Entire home/apt,163.5,28,236,193,1.63
Lambeth,Entire home/apt,225.7,7,102,124,1.99
Hackney,Entire home/apt,121.55,6,145,196,3.04
Islington,Private room,68.67,5,121,107,0.95
Islington,Entire home/apt,197.51,10,145,270,1.32
Wandsworth,Entire home/apt,60.8,27,105,138,2.5
Tower Hamlets,Entire home/apt,215.83,17,296,213,3.43
Hackney,Shared room,57.55,11,250,2,12.08
Islington,Entire home/apt,135.86,18,112,250,5.58
Islington,Entire home/apt,156.11,20,255,214,1.08
Camden,Entire home/apt,290.0,16,24,73,4.56
Wandsworth,Private room,104.58,25,115,47,0.36
Hackney,Entire home/apt,117.39,21,213,172,0.73
Westminster,Entire home/apt,170.63,11,271,240,0.02
Hackney,Entire home/apt,147.76,26,143,261,3.04
Hammersmith,Private room,97.27,2,282,78,0.63
Islington,Entire home/apt,165.94,23,62,11,1.06
Westminster,Entire home/apt,130.4,8,89,207,0.43
Lambeth,Entire home/apt,93.98,12,100,150,0.47
Hammersmith,Private room,98.01,29,194,227,2.37
Tower Hamlets,Entire home/apt,191.41,10,20,63,0.7
Islington,Entire home/apt,136.9,4,223,271,0.38
Lambeth,Entire home/apt,101.99,13,274,33,0.43
Lambeth,Entire home/apt,87.45,19,37,69,4.16
Wandsworth,Entire home/apt,103.59,4,49,337,0.09
Islington,Private room,135.55,29,299,289,0.06
Wandsworth,Entire home/apt,85.27,7,67,146,0.37
